,,,,,,,,,,score
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,0.41333333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,0.41333333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,,0.41333333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,0.41333333333333333
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,,0.41333333333333333
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,0.41333333333333333
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,,0.41333333333333333
claude-3-5-sonnet-20240620,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,open-mixtral-8x22b,,,,,0.41333333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,mistral-large-latest,open-mixtral-8x22b,,,,,0.41333333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,,0.41333333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,0.41333333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,open-mixtral-8x22b,,,,,0.41333333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,mistral-large-latest,,,,,0.41333333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4o,mistral-large-latest,,,,,,0.41333333333333333
claude-3-opus-20240229,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,,0.41333333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,0.41333333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,0.41333333333333333
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,0.41333333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,0.41333333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4-turbo-preview,mistral-large-latest,,,,,,,0.41333333333333333
claude-3-opus-20240229,gemini-1_0-pro,gpt-4o,,,,,,,,0.41333333333333333
claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,,,0.41
claude-3-5-sonnet-20240620,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,,,,,0.41
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,0.41
claude-3-5-sonnet-20240620,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,,,,0.41
claude-3-5-sonnet-20240620,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,,,0.41
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,0.41
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,0.41
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4o,open-mixtral-8x22b,,,,,,0.41
claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,,,,,0.41
claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,open-mixtral-8x22b,,,,,,0.41
claude-3-5-sonnet-20240620,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,0.41
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,,,,,0.41
claude-3-5-sonnet-20240620,command-r,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,,0.41
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,mistral-large-latest,,,,,,0.41
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,mistral-large-latest,open-mixtral-8x22b,,,,,,0.41
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,0.41
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4-turbo-preview,mistral-large-latest,open-mixtral-8x22b,,,,,,0.41
claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,,0.4066666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,0.4066666666666667
claude-3-opus-20240229,command-r,gpt-4o,,,,,,,,0.4066666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,0.4066666666666667
claude-3-5-sonnet-20240620,command-r,gemini-1_5-pro,gpt-4o,mistral-large-latest,,,,,,0.4066666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,0.4066666666666667
claude-3-5-sonnet-20240620,command-r,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,,0.4066666666666667
claude-3-opus-20240229,command-r,gpt-4-turbo-preview,gpt-4o,,,,,,,0.4066666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,,0.4066666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,,,,,,0.4066666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,0.4066666666666667
claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,0.4066666666666667
claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,,,,,,,0.4066666666666667
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,0.4066666666666667
claude-3-5-sonnet-20240620,command-r,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,0.4066666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,0.4066666666666667
claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,,,,,0.4066666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,0.4066666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,,,,,,0.4066666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,0.4066666666666667
claude-3-5-sonnet-20240620,command-r,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,0.4066666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,0.4066666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,,,,,,,0.4066666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,0.4066666666666667
claude-3-5-sonnet-20240620,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,0.4066666666666667
claude-3-5-sonnet-20240620,gemini-1_0-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,,0.4066666666666667
claude-3-5-sonnet-20240620,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,0.4066666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,0.4066666666666667
claude-3-5-sonnet-20240620,gemini-1_5-pro,mistral-large-latest,,,,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,0.4033333333333333
claude-3-5-sonnet-20240620,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,0.4033333333333333
claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,0.4033333333333333
claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,0.4033333333333333
gpt-4o,open-mixtral-8x22b,,,,,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,0.4033333333333333
claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,mistral-large-latest,open-mixtral-8x22b,,,,0.4033333333333333
claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,mistral-large-latest,,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,0.4033333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,0.4033333333333333
claude-3-5-sonnet-20240620,gemini-1_5-pro,open-mixtral-8x22b,,,,,,,,0.4033333333333333
claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,0.4033333333333333
gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,,,,0.4033333333333333
claude-3-opus-20240229,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,command-r,gpt-4o,mistral-large-latest,,,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,command-r,gpt-4-turbo-preview,mistral-large-latest,,,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,mistral-large-latest,open-mixtral-8x22b,,,,0.4033333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,meta_llama3-70b-instruct-v1_0,,,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,,0.4033333333333333
claude-3-opus-20240229,command-r,gpt-4o,open-mixtral-8x22b,,,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,,0.4033333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,0.4033333333333333
claude-3-5-sonnet-20240620,gemini-1_0-pro,gpt-4o,mistral-large-latest,,,,,,,0.4
claude-3-5-sonnet-20240620,gemini-1_0-pro,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,,0.4
claude-3-opus-20240229,command-r,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,,0.4
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,mistral-large-latest,,,,,0.4
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,0.4
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,,,,,,0.4
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,,,,,,,0.4
claude-3-5-sonnet-20240620,command-r,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,0.4
claude-3-opus-20240229,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,,,0.4
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,0.4
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gpt-4-turbo-preview,mistral-large-latest,open-mixtral-8x22b,,,,0.4
claude-3-5-sonnet-20240620,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,,,,0.4
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,meta_llama3-70b-instruct-v1_0,,,,,0.4
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,0.4
claude-3-opus-20240229,gemini-1_5-pro,mistral-large-latest,,,,,,,,0.4
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4-turbo-preview,mistral-large-latest,open-mixtral-8x22b,,,,,0.4
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,0.4
claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,0.4
claude-3-opus-20240229,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,,,,,,,0.4
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,0.4
claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,0.4
claude-3-5-sonnet-20240620,command-r,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,,0.4
claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4o,,,,,,,0.4
claude-3-5-sonnet-20240620,command-r,gemini-1_5-pro,gpt-4o,open-mixtral-8x22b,,,,,,0.4
claude-3-5-sonnet-20240620,command-r,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,0.4
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,,,,,,0.4
claude-3-5-sonnet-20240620,command-r,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,,0.4
claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,0.4
claude-3-5-sonnet-20240620,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4-turbo-preview,open-mixtral-8x22b,,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,0.39666666666666667
claude-3-5-sonnet-20240620,gemini-1_0-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,0.39666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,0.39666666666666667
claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,open-mixtral-8x22b,,,,0.39666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gpt-4o,,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4-turbo-preview,,,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,command-r,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,open-mixtral-8x22b,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,0.39666666666666667
claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,0.39666666666666667
claude-3-opus-20240229,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,0.39666666666666667
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4-turbo-preview,,,,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,0.39666666666666667
claude-3-opus-20240229,gemini-1_0-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,,0.39666666666666667
claude-3-opus-20240229,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,,0.39666666666666667
claude-3-opus-20240229,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,,,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,,,0.39666666666666667
claude-3-5-sonnet-20240620,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,0.39666666666666667
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,,,,,,,0.39666666666666667
claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,0.39666666666666667
claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,0.3933333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,open-mixtral-8x22b,,,,,,0.3933333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,,0.3933333333333333
claude-3-opus-20240229,mistral-large-latest,,,,,,,,,0.3933333333333333
claude-3-5-sonnet-20240620,command-r,gemini-1_5-pro,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,0.3933333333333333
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,0.3933333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,,,0.3933333333333333
claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,0.3933333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,0.3933333333333333
claude-3-5-sonnet-20240620,command-r,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,,,,,,0.3933333333333333
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,0.3933333333333333
claude-3-opus-20240229,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,,0.3933333333333333
claude-3-5-sonnet-20240620,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,0.3933333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,0.3933333333333333
claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,,0.3933333333333333
claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4o,open-mixtral-8x22b,,,,,,0.3933333333333333
claude-3-5-sonnet-20240620,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,0.3933333333333333
claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,mistral-large-latest,,,,,0.3933333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,,,,,0.3933333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,,,,,0.3933333333333333
claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,0.3933333333333333
claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4o,mistral-large-latest,,,,,,0.3933333333333333
claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,0.3933333333333333
